Qt-eMitus;
80;
target;1
qte;2
target;3
qte;4
target;5
qte;6
target;7
qte;8
target;9
qte;10
target;11
qte;12
target;13
qte;14
target;15
qte;16
target;17
qte;18
target;19
qte;20
target;21
qte;22
target;23
qte;24
target;25
qte;26
target;27
qte;28
target;29
qte;30
target;31
qte;32
target;33
qte;34
target;35
qte;36
target;37
qte;38
target;39
qte;40
target;41
qte;42
target;43
qte;44
target;45
qte;46
target;47
qte;48
target;49
qte;50
target;51
qte;52
target;53
qte;54
target;55
qte;56
target;57
qte;58
target;59
qte;60
target;61
qte;62
target;63
qte;64
target;65
qte;66
target;67
qte;68
target;69
qte;70
target;71
qte;72
target;73
qte;74
target;75
qte;76
target;77
qte;78
target;79
qte;80
