Qt-eMitus;
150;
target;2
qte;4
qte;6
target;8
target;10
qte;12
qte;14
target;16
target;18
qte;20
qte;22
target;24
target;26
qte;28
qte;30
target;32
target;34
qte;36
qte;38
target;40
target;42
qte;44
qte;46
target;48
target;50
qte;52
qte;54
target;56
target;58
qte;60
qte;62
target;64
target;66
qte;68
qte;70
target;72
target;74
qte;76
qte;78
target;80
target;82
qte;84
qte;86
target;88
target;90
qte;92
qte;94
target;96
target;98
qte;100
qte;102
target;104
target;106
qte;108
qte;110
target;112
target;114
qte;116
qte;118
target;120
target;122
qte;124
qte;126
target;128
target;130
qte;132
qte;134
target;136
target;138
qte;140
qte;142
target;144
target;146
qte;148
qte;150
